2025-08-11 17:43:34 | [INFO    ] | root | Built query:	from:grok filter:replies -filter:retweets -filter:quote -filter:self_threads since:2025-08-04_00:00:00_UTC until:2025-08-05_00:00:00_UTC
2025-08-11 17:43:34 | [ERROR   ] | root | 🚫	HTTP 402 on /twitter/tweet/advanced_search. No retry.
2025-08-11 17:43:34 | [WARNING ] | root | ⚠️	Request error on /twitter/tweet/advanced_search (1/4): 402 Client Error: Payment Required for url: https://api.twitterapi.io/twitter/tweet/advanced_search?query=from%3Agrok+filter%3Areplies+-filter%3Aretweets+-filter%3Aquote+-filter%3Aself_threads+since%3A2025-08-04_00%3A00%3A00_UTC+until%3A2025-08-05_00%3A00%3A00_UTC&queryType=Latest&cursor=. Backing off 1.0 s...
2025-08-11 17:43:35 | [ERROR   ] | root | 🚫	HTTP 402 on /twitter/tweet/advanced_search. No retry.
2025-08-11 17:43:35 | [WARNING ] | root | ⚠️	Request error on /twitter/tweet/advanced_search (2/4): 402 Client Error: Payment Required for url: https://api.twitterapi.io/twitter/tweet/advanced_search?query=from%3Agrok+filter%3Areplies+-filter%3Aretweets+-filter%3Aquote+-filter%3Aself_threads+since%3A2025-08-04_00%3A00%3A00_UTC+until%3A2025-08-05_00%3A00%3A00_UTC&queryType=Latest&cursor=. Backing off 2.0 s...
2025-08-11 17:43:37 | [ERROR   ] | root | 🚫	HTTP 402 on /twitter/tweet/advanced_search. No retry.
2025-08-11 17:43:37 | [WARNING ] | root | ⚠️	Request error on /twitter/tweet/advanced_search (3/4): 402 Client Error: Payment Required for url: https://api.twitterapi.io/twitter/tweet/advanced_search?query=from%3Agrok+filter%3Areplies+-filter%3Aretweets+-filter%3Aquote+-filter%3Aself_threads+since%3A2025-08-04_00%3A00%3A00_UTC+until%3A2025-08-05_00%3A00%3A00_UTC&queryType=Latest&cursor=. Backing off 4.0 s...
2025-08-11 17:43:41 | [ERROR   ] | root | 🚫	HTTP 402 on /twitter/tweet/advanced_search. No retry.
2025-08-11 17:43:41 | [WARNING ] | root | ⚠️	Request error on /twitter/tweet/advanced_search (4/4): 402 Client Error: Payment Required for url: https://api.twitterapi.io/twitter/tweet/advanced_search?query=from%3Agrok+filter%3Areplies+-filter%3Aretweets+-filter%3Aquote+-filter%3Aself_threads+since%3A2025-08-04_00%3A00%3A00_UTC+until%3A2025-08-05_00%3A00%3A00_UTC&queryType=Latest&cursor=. Backing off 8.0 s...
2025-08-11 17:43:49 | [ERROR   ] | root | 🚫	Failed after 4 attempts on /twitter/tweet/advanced_search
2025-08-11 17:43:49 | [ERROR   ] | root | Dumping partial DB to JSON due to error: 402 Client Error: Payment Required for url: https://api.twitterapi.io/twitter/tweet/advanced_search?query=from%3Agrok+filter%3Areplies+-filter%3Aretweets+-filter%3Aquote+-filter%3Aself_threads+since%3A2025-08-04_00%3A00%3A00_UTC+until%3A2025-08-05_00%3A00%3A00_UTC&queryType=Latest&cursor=
2025-08-11 17:43:49 | [INFO    ] | root | Exported 171 conversation(s): grok_data/data.json (updated: 0, last_ts=1754485633)
2025-08-11 17:43:49 | [INFO    ] | root | 💾 Partial dump complete: grok_data/data.json
2025-08-11 17:43:49 | [INFO    ] | root | Done.
